Calculation1,School,City,County/State/Country,Measure Names,Measure Values
ANAHUACALMECAC INTRL UNIV PREP054332,ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,Enrl GPA,
ANAHUACALMECAC INTRL UNIV PREP054332,ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,Adm GPA,4.01125
ANAHUACALMECAC INTRL UNIV PREP054332,ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,App GPA,4.01125
ANALY HIGH SCHOOL053345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Enrl GPA,4.14625
ANALY HIGH SCHOOL053345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Adm GPA,4.0316
ANALY HIGH SCHOOL053345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,App GPA,3.936857143
ANDERSON UNION HIGH SCHOOL050095,ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,Enrl GPA,
ANDERSON UNION HIGH SCHOOL050095,ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,Adm GPA,
ANDERSON UNION HIGH SCHOOL050095,ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,App GPA,3.804
ANDREW P HILL HIGH SCHOOL053077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,3.982608696
ANDREW P HILL HIGH SCHOOL053077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,3.857169811
ANDREW P HILL HIGH SCHOOL053077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,App GPA,3.715609756
ANGELO RODRIGUEZ HIGH SCHOOL050919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Enrl GPA,4.113461538
ANGELO RODRIGUEZ HIGH SCHOOL050919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Adm GPA,4.052597403
ANGELO RODRIGUEZ HIGH SCHOOL050919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,App GPA,3.883728814
ANIMO COLLEGE PREP ACADEMY054569,ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,Enrl GPA,
ANIMO COLLEGE PREP ACADEMY054569,ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,Adm GPA,3.698823529
ANIMO COLLEGE PREP ACADEMY054569,ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,App GPA,3.581304348
